type,exchange_segment,security_id,LTP,LTQ,LTT,avg_price,volume,total_sell_quantity,total_buy_quantity,open,close,high,low
Quote Data,0,25,46577.65,0,15:01:30,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46575.00,0,15:01:31,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46576.45,0,15:01:32,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46575.10,0,15:01:33,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46578.05,0,15:01:34,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46585.05,0,15:01:35,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46586.20,0,15:01:36,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46586.20,0,15:01:36,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46593.10,0,15:01:37,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46593.60,0,15:01:38,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46594.30,0,15:01:39,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46591.25,0,15:01:40,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46594.60,0,15:01:41,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46594.55,0,15:01:42,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46593.65,0,15:01:43,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46593.65,0,15:01:43,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46596.40,0,15:01:44,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46595.00,0,15:01:45,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46595.00,0,15:01:45,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46596.15,0,15:01:46,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46597.20,0,15:01:47,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46597.95,0,15:01:48,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46596.00,0,15:01:49,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46598.60,0,15:01:50,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46593.45,0,15:01:51,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46596.50,0,15:01:52,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46599.20,0,15:01:53,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46598.55,0,15:01:54,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46598.55,0,15:01:54,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46597.15,0,15:01:55,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46596.70,0,15:01:56,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46596.05,0,15:01:57,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46596.05,0,15:01:57,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46597.00,0,15:01:58,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46597.00,0,15:01:58,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46598.30,0,15:01:59,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46602.85,0,15:02:00,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46601.60,0,15:02:01,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46604.65,0,15:02:02,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46603.00,0,15:02:03,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46603.55,0,15:02:04,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46605.65,0,15:02:05,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46603.75,0,15:02:06,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46599.25,0,15:02:07,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46603.90,0,15:02:08,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46602.45,0,15:02:09,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46604.75,0,15:02:10,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46604.65,0,15:02:11,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
Quote Data,0,25,46605.15,0,15:02:12,0.00,0,0,0,46554.90,46384.85,46717.40,46317.70
