open,high,low,close,volume,start_Time,date
70.4,70.4,70.3,70.4,10695.0,1392793020.0,2024-02-19 12:27:00
70.4,70.4,70.3,70.3,4283.0,1392793080.0,2024-02-19 12:28:00
70.39,70.4,70.3,70.4,1920.0,1392793140.0,2024-02-19 12:29:00
70.32,70.39,70.32,70.39,1231.0,1392793200.0,2024-02-19 12:30:00
70.3,70.4,70.3,70.31,1357.0,1392793260.0,2024-02-19 12:31:00
70.31,70.5,70.31,70.35,4197.0,1392793320.0,2024-02-19 12:32:00
70.39,70.5,70.39,70.5,1334.0,1392793380.0,2024-02-19 12:33:00
70.51,70.59,70.5,70.58,1811.0,1392793440.0,2024-02-19 12:34:00
70.55,70.6,70.52,70.6,450.0,1392793500.0,2024-02-19 12:35:00
70.56,70.61,70.52,70.6,4933.0,1392793560.0,2024-02-19 12:36:00
70.61,70.61,70.5,70.59,3718.0,1392793620.0,2024-02-19 12:37:00
70.59,70.59,70.45,70.45,1597.0,1392793680.0,2024-02-19 12:38:00
70.39,70.5,70.39,70.5,1371.0,1392793740.0,2024-02-19 12:39:00
70.49,70.49,70.4,70.4,216.0,1392793800.0,2024-02-19 12:40:00
70.4,70.49,70.39,70.39,1763.0,1392793860.0,2024-02-19 12:41:00
70.39,70.48,70.39,70.48,326.0,1392793920.0,2024-02-19 12:42:00
70.47,70.48,70.39,70.39,1326.0,1392793980.0,2024-02-19 12:43:00
70.39,70.39,70.35,70.39,1234.0,1392794040.0,2024-02-19 12:44:00
70.39,70.46,70.3,70.3,2190.0,1392794100.0,2024-02-19 12:45:00
70.31,70.39,70.25,70.25,7534.0,1392794160.0,2024-02-19 12:46:00
70.3,70.3,70.25,70.3,2984.0,1392794220.0,2024-02-19 12:47:00
70.39,70.47,70.3,70.32,2957.0,1392794280.0,2024-02-19 12:48:00
70.32,70.41,70.31,70.31,898.0,1392794340.0,2024-02-19 12:49:00
70.4,70.4,70.31,70.31,1351.0,1392794400.0,2024-02-19 12:50:00
70.31,70.39,70.31,70.34,676.0,1392794460.0,2024-02-19 12:51:00
70.34,70.38,70.34,70.38,1607.0,1392794520.0,2024-02-19 12:52:00
70.38,70.4,70.33,70.33,1929.0,1392794580.0,2024-02-19 12:53:00
70.39,70.39,70.26,70.3,3521.0,1392794640.0,2024-02-19 12:54:00
70.3,70.38,70.26,70.26,1805.0,1392794700.0,2024-02-19 12:55:00
70.3,70.39,70.27,70.3,2988.0,1392794760.0,2024-02-19 12:56:00
70.39,70.39,70.38,70.39,187.0,1392794820.0,2024-02-19 12:57:00
70.39,70.4,70.31,70.39,4799.0,1392794880.0,2024-02-19 12:58:00
70.31,70.39,70.31,70.34,3025.0,1392794940.0,2024-02-19 12:59:00
70.34,70.35,70.34,70.34,1784.0,1392795000.0,2024-02-19 13:00:00
70.35,70.4,70.34,70.39,2436.0,1392795060.0,2024-02-19 13:01:00
70.39,70.4,70.39,70.4,336.0,1392795120.0,2024-02-19 13:02:00
